Date,Pollution Level,pH Level,Temperature,Fuzzy Quality Score,Fuzzy Quality Description
2013-01-13,40.51,6.65,16.75,59.56,Average
2013-01-25,32.15,6.95,6.42,22.82,Poor
2013-02-06,43.22,6.02,8.05,34.53,Poor
2013-02-13,2.32,8.56,6.53,18.87,Poor
2013-03-08,92.36,6.55,17.16,17.00,Poor
2013-03-16,8.66,8.48,11.70,22.36,Poor
2013-04-18,66.51,8.85,13.50,29.09,Poor
2013-04-23,8.73,8.40,10.99,21.83,Poor
2013-05-05,57.88,8.02,14.08,42.22,Poor
2013-05-13,27.94,7.03,17.20,79.99,Good
2013-06-05,89.65,6.40,8.94,17.81,Poor
2013-06-27,88.55,6.60,5.80,17.38,Poor
2013-07-02,17.26,7.86,5.81,18.47,Poor
2013-07-05,91.86,7.45,24.28,17.05,Poor
2013-08-09,8.70,6.68,5.72,18.42,Poor
2013-08-14,37.97,7.38,8.85,32.78,Poor
2013-09-08,0.91,6.30,21.59,76.84,Good
2013-09-09,99.94,8.39,11.29,16.67,Poor
2013-10-13,66.24,8.98,11.94,29.68,Poor
2013-10-14,86.73,6.72,8.33,17.59,Poor
2013-11-13,99.62,6.77,13.82,16.67,Poor
2013-11-23,67.80,8.03,17.21,26.06,Poor
2013-12-05,94.67,7.09,19.22,16.84,Poor
2013-12-11,51.51,6.75,9.76,37.72,Poor
2014-01-07,98.17,6.89,19.51,16.69,Poor
2014-01-19,23.54,8.39,9.77,20.95,Poor
2014-02-24,86.95,8.14,16.87,17.57,Poor
2014-02-28,59.74,7.67,6.55,31.71,Poor
2014-03-02,13.90,8.47,6.38,18.78,Poor
2014-03-27,89.17,8.25,23.30,17.31,Poor
2014-04-18,82.40,8.76,5.37,18.19,Poor
2014-04-19,56.17,6.43,7.51,34.12,Poor
2014-05-14,50.12,8.12,10.00,38.12,Poor
2014-05-21,52.72,8.13,5.76,33.20,Poor
2014-06-19,75.62,8.01,11.74,19.33,Poor
2014-06-23,67.66,7.64,5.77,22.67,Poor
2014-07-01,90.79,6.63,8.29,17.14,Poor
2014-07-25,34.50,6.01,17.75,51.56,Average
2014-08-14,48.13,8.87,19.36,41.35,Poor
2014-08-28,22.39,8.69,12.96,22.79,Poor
2014-09-18,77.80,6.76,8.50,18.94,Poor
2014-09-23,51.90,7.84,19.38,47.44,Poor
2014-10-16,53.93,8.97,16.55,40.70,Poor
2014-10-21,55.80,8.37,24.52,43.57,Poor
2014-11-03,12.46,8.54,21.82,23.06,Poor
2014-11-26,0.13,7.83,22.90,64.59,Average
2014-12-01,42.64,6.73,18.94,57.24,Average
2014-12-26,32.72,6.77,15.38,72.67,Good
2015-01-09,14.24,7.21,10.26,26.04,Poor
2015-01-19,98.03,8.54,9.99,16.69,Poor
2015-02-01,31.87,6.25,13.42,60.80,Average
2015-02-25,35.09,8.98,8.27,29.07,Poor
2015-03-09,88.07,7.56,8.43,17.43,Poor
2015-03-20,51.66,8.92,14.44,41.13,Poor
2015-04-04,21.42,7.26,6.13,18.64,Poor
2015-04-12,5.02,8.75,19.78,22.68,Poor
2015-05-25,69.19,7.56,8.96,22.31,Poor
2015-05-25,53.54,7.30,7.64,34.83,Poor
2015-06-04,99.84,8.04,12.36,16.67,Poor
2015-06-25,72.85,7.34,20.80,19.85,Poor
2015-07-26,45.91,7.13,6.95,34.03,Poor
2015-07-28,68.95,7.65,18.12,23.18,Poor
2015-08-03,7.58,7.34,21.66,81.89,Good
2015-08-18,82.85,6.16,18.96,20.04,Poor
2015-09-04,70.82,8.69,12.64,20.25,Poor
2015-09-14,37.75,7.23,14.93,62.78,Average
2015-10-10,2.71,6.47,23.82,80.10,Good
2015-10-23,20.02,7.09,19.21,81.43,Good
2015-11-14,97.49,8.52,14.07,16.71,Poor
2015-11-20,97.61,7.32,15.72,16.70,Poor
2015-12-05,5.16,6.58,23.27,81.23,Good
2015-12-23,57.44,7.39,24.34,42.68,Poor
2016-01-04,90.83,6.13,17.04,19.12,Poor
2016-01-22,15.45,8.77,12.99,22.64,Poor
2016-02-05,54.62,7.08,13.41,44.90,Poor
2016-02-12,70.44,8.45,19.14,20.33,Poor
2016-03-04,36.78,7.28,20.08,64.59,Average
2016-03-27,87.47,6.05,11.90,19.90,Poor
2016-04-02,24.67,8.26,19.31,23.58,Poor
2016-04-24,45.32,7.03,16.64,54.59,Average
2016-05-16,99.24,8.98,21.22,16.67,Poor
2016-05-20,17.09,8.92,18.33,22.37,Poor
2016-06-06,35.50,7.38,10.45,36.21,Poor
2016-06-12,81.20,6.97,19.30,18.38,Poor
2016-07-06,8.76,8.30,9.73,20.92,Poor
2016-07-09,43.99,8.64,13.17,42.03,Poor
2016-08-12,51.40,7.39,8.85,36.47,Poor
2016-08-23,62.27,8.77,22.86,36.85,Poor
2016-09-20,38.97,8.13,8.45,32.99,Poor
2016-09-27,1.49,6.58,11.49,44.01,Poor
2016-10-12,93.35,6.31,22.07,17.92,Poor
2016-10-15,83.60,6.35,8.71,18.87,Poor
2016-11-02,0.83,6.77,24.92,80.63,Good
2016-11-13,46.57,8.10,6.77,33.97,Poor
2016-12-05,96.60,6.22,7.03,18.19,Poor
2016-12-22,25.11,8.62,15.76,22.91,Poor
2017-01-18,94.91,7.01,19.30,16.82,Poor
2017-01-21,20.88,6.94,6.55,18.88,Poor
2017-02-20,21.49,7.18,17.98,81.18,Good
2017-02-24,27.35,8.47,22.32,23.19,Poor
2017-03-01,80.66,8.38,10.69,18.46,Poor
2017-03-09,20.70,7.02,21.65,81.31,Good
2017-04-07,19.65,6.34,5.17,19.05,Poor
2017-04-26,73.55,7.44,8.29,19.72,Poor
2017-05-10,55.69,7.71,11.05,39.28,Poor
2017-05-11,96.79,7.14,20.59,16.73,Poor
2017-06-07,11.56,7.75,19.00,70.23,Good
2017-06-14,19.20,8.33,19.42,23.44,Poor
2017-07-12,74.47,8.46,24.81,19.54,Poor
2017-07-15,75.30,9.00,11.32,19.39,Poor
2017-08-16,33.68,7.92,20.70,51.61,Average
2017-08-24,57.74,6.65,11.60,39.81,Poor
2017-09-07,14.62,6.96,15.82,81.28,Good
2017-09-15,55.53,6.69,19.41,44.59,Poor
2017-10-05,4.28,6.06,11.15,33.25,Poor
2017-10-23,98.03,8.42,22.59,16.69,Poor
2017-11-23,21.52,6.50,15.48,80.57,Good
2017-11-28,88.89,8.69,20.37,17.34,Poor
2017-12-03,9.63,7.06,11.02,38.00,Poor
2017-12-16,74.17,8.83,10.99,19.60,Poor
2018-01-17,2.96,8.43,24.41,23.25,Poor
2018-01-20,52.90,8.31,16.85,44.32,Poor
2018-02-02,48.76,6.85,22.78,51.27,Average
2018-02-13,88.90,7.19,23.33,17.34,Poor
2018-03-09,87.95,7.48,6.00,17.45,Poor
2018-03-24,62.78,8.06,20.96,36.09,Poor
2018-04-12,56.63,6.94,15.33,43.50,Poor
2018-04-26,87.75,8.80,11.34,17.47,Poor
2018-05-06,89.15,6.30,15.53,18.38,Poor
2018-05-14,39.73,6.84,11.33,45.37,Poor
2018-06-10,36.82,7.84,23.98,56.50,Average
2018-06-16,71.54,8.76,18.70,20.11,Poor
2018-07-10,36.27,8.30,10.57,33.94,Poor
2018-07-19,68.40,8.09,22.34,24.59,Poor
2018-08-10,94.07,7.19,8.47,16.88,Poor
2018-08-25,70.92,8.03,11.92,20.23,Poor
2018-09-16,16.26,7.35,23.29,81.81,Good
2018-09-26,31.01,6.76,13.62,66.46,Average
2018-10-03,78.39,7.83,5.08,18.09,Poor
2018-10-18,30.53,8.19,12.72,25.75,Poor
2018-11-06,70.48,8.05,10.70,20.32,Poor
2018-11-07,39.87,8.75,15.95,40.07,Poor
2018-12-04,31.64,8.73,9.46,24.64,Poor
2018-12-05,75.85,6.28,14.31,20.70,Poor
2019-01-08,77.99,8.61,11.77,18.91,Poor
2019-01-11,0.12,7.59,10.24,25.76,Poor
2019-02-06,14.32,6.26,21.27,75.68,Good
2019-02-21,38.91,8.91,24.08,38.63,Poor
2019-03-02,51.90,6.34,16.46,48.08,Poor
2019-03-27,73.08,7.57,9.39,19.81,Poor
2019-04-17,86.20,6.31,24.12,18.74,Poor
2019-04-24,22.14,7.93,14.67,51.72,Average
2019-05-09,93.62,8.74,9.60,16.91,Poor
2019-05-28,98.45,6.80,19.23,16.68,Poor
2019-06-10,53.81,6.02,9.11,36.55,Poor
2019-06-11,23.23,7.01,15.29,80.82,Good
2019-07-14,10.13,6.02,15.57,56.19,Average
2019-07-20,7.26,6.97,8.11,19.83,Poor
2019-08-02,1.35,8.83,16.41,22.54,Poor
2019-08-22,36.83,6.55,10.79,40.21,Poor
2019-09-03,2.22,7.95,16.34,47.19,Poor
2019-09-20,88.09,6.73,13.96,17.43,Poor
2019-10-13,76.52,6.97,22.21,19.17,Poor
2019-10-28,83.10,6.43,8.39,18.51,Poor
2019-11-09,89.85,7.26,10.40,17.24,Poor
2019-11-15,73.10,7.27,21.56,19.80,Poor
2019-12-19,5.47,8.18,7.64,19.53,Poor
2019-12-23,68.45,6.40,15.63,24.45,Poor
2020-01-12,26.86,6.09,24.31,67.87,Average
2020-01-25,37.83,8.94,7.23,30.75,Poor
2020-02-11,28.95,8.39,14.88,23.32,Poor
2020-02-27,77.32,7.18,8.53,19.03,Poor
2020-03-12,34.38,6.52,18.20,69.00,Average
2020-03-14,1.07,8.44,15.68,23.23,Poor
2020-04-02,66.95,8.68,14.94,28.10,Poor
2020-04-25,0.81,8.79,19.32,22.60,Poor
2020-05-21,14.75,8.99,12.24,22.25,Poor
2020-05-22,42.44,6.32,14.27,54.77,Average
2020-06-08,78.47,8.22,6.93,18.83,Poor
2020-06-15,32.86,7.04,21.04,72.36,Good
2020-07-12,56.11,8.56,22.13,42.44,Poor
2020-07-21,66.55,6.52,18.99,29.00,Poor
2020-08-06,12.32,6.00,21.45,51.10,Average
2020-08-21,67.10,8.40,20.69,27.74,Poor
2020-09-02,35.13,6.39,23.73,67.50,Average
2020-09-07,1.86,8.20,14.68,23.67,Poor
2020-10-20,6.45,7.33,13.81,68.39,Average
2020-10-23,55.13,6.74,20.09,44.98,Poor
2020-11-01,31.13,8.05,12.42,27.64,Poor
2020-11-21,96.49,8.70,16.02,16.74,Poor
2020-12-11,92.06,6.93,5.41,17.03,Poor
2020-12-27,67.06,7.26,14.90,27.83,Poor
2021-01-03,89.32,6.62,8.92,17.29,Poor
2021-01-04,59.37,6.43,12.67,40.57,Poor
2021-02-16,47.39,7.66,20.38,51.35,Average
2021-02-24,80.77,7.75,22.54,18.45,Poor
2021-03-14,86.79,6.60,6.01,17.59,Poor
2021-03-21,44.50,6.99,21.30,55.38,Average
2021-04-14,46.04,7.30,8.58,35.85,Poor
2021-04-14,47.12,7.63,8.00,35.31,Poor
2021-05-08,57.35,7.24,6.01,32.31,Poor
2021-05-12,25.78,6.57,10.58,31.44,Poor
2021-06-08,45.16,7.49,19.66,54.74,Average
2021-06-21,63.59,7.20,10.30,33.61,Poor
2021-07-13,41.67,6.36,18.85,58.27,Average
2021-07-27,93.42,7.37,7.26,16.92,Poor
2021-08-10,12.15,8.83,21.31,22.54,Poor
2021-08-15,75.01,7.44,8.68,19.44,Poor
2021-09-01,38.33,7.50,8.38,32.45,Poor
2021-09-13,10.73,8.57,14.46,23.01,Poor
2021-10-23,0.75,7.16,21.09,82.97,Good
2021-10-27,96.03,6.56,23.06,16.76,Poor
2021-11-14,56.43,8.36,9.43,36.42,Poor
2021-11-18,28.48,8.51,11.52,22.23,Poor
2021-12-19,82.69,7.35,23.50,18.15,Poor
2021-12-28,0.39,8.03,10.81,21.70,Poor
2022-01-18,92.93,6.22,21.62,18.44,Poor
2022-01-19,11.78,7.12,8.26,19.92,Poor
2022-02-07,24.85,8.69,8.38,20.00,Poor
2022-02-28,65.04,6.86,24.97,32.17,Poor
2022-03-10,71.92,6.27,8.23,21.49,Poor
2022-03-18,69.79,6.20,10.94,22.69,Poor
2022-04-04,97.81,7.86,16.53,16.70,Poor
2022-04-04,42.91,6.07,9.66,36.54,Poor
2022-05-16,39.63,8.46,14.28,41.71,Poor
2022-05-28,95.08,6.95,13.44,16.81,Poor
2022-06-10,84.57,8.44,17.38,17.88,Poor
2022-06-20,74.83,8.36,17.51,19.48,Poor
2022-07-24,92.58,6.89,6.68,16.99,Poor
2022-07-25,55.27,6.95,18.70,44.84,Poor
2022-08-12,79.36,7.21,17.09,18.68,Poor
2022-08-20,33.32,6.95,14.26,66.89,Average
2022-09-05,23.61,6.74,9.77,20.95,Poor
2022-09-10,84.06,8.99,10.42,17.95,Poor
2022-10-16,14.76,8.12,18.03,23.83,Poor
2022-10-16,16.29,7.43,9.72,20.91,Poor
2022-11-08,79.25,7.95,11.24,18.70,Poor
2022-11-10,21.82,6.96,22.12,81.12,Good
2022-12-03,5.89,6.36,8.42,21.05,Poor
2022-12-08,90.91,8.46,14.76,17.13,Poor
2023-01-11,0.08,6.31,8.93,21.76,Poor
2023-01-12,13.97,8.74,12.83,22.70,Poor
2023-02-03,46.76,6.16,22.15,53.21,Average
2023-02-04,67.52,6.35,14.81,26.76,Poor
2023-03-14,67.50,6.68,13.83,26.79,Poor
2023-03-18,15.37,6.06,9.20,23.73,Poor
2023-04-13,20.14,7.74,7.07,19.18,Poor
2023-04-15,56.66,8.24,5.54,32.17,Poor
2023-05-01,39.06,6.51,17.69,61.34,Average
2023-05-18,45.72,7.58,15.53,53.55,Average
2023-06-07,21.32,8.21,9.83,20.99,Poor
2023-06-10,64.14,7.43,9.08,31.07,Poor
2023-07-22,12.02,7.81,12.50,51.79,Average
2023-07-23,34.62,8.79,18.14,35.12,Poor
2023-08-04,44.42,6.54,22.81,55.46,Average
2023-08-27,4.67,8.25,22.87,23.58,Poor
2023-09-10,37.32,7.09,23.55,63.76,Average
2023-09-11,51.93,8.44,10.49,38.83,Poor
2023-10-12,23.70,6.96,12.04,50.45,Average
2023-10-17,55.88,8.92,19.36,40.59,Poor
2023-11-11,11.80,8.21,22.33,23.66,Poor
2023-11-27,3.18,8.20,21.39,23.68,Poor
2023-12-07,25.05,8.31,20.30,23.48,Poor
2023-12-14,17.12,6.98,23.10,81.88,Good
